ID,Name,Longitude_WGS84,Latitude_WGS84,Street,AdmArea,District,RouteNumbers,StationName,Direction,Pavilion,OperatingOrgName,EntryState,global_id,geoData
3623,"«Фортунатовская ул.», Щербаковская улица (от центра)",37.73864919,55.78286096,Щербаковская улица,Восточный административный округ,район Соколиная Гора,Тм32; Тм34; Тм34К; Тм11,Фортунатовская ул.,от центра,нет,,активна,1719222,"{type=Point, coordinates=[37.73864919, 55.78286096]}"
3625,"«Метро Партизанская», Народный проспект (от центра)",37.74766406,55.78701612,Народный проспект,Восточный административный округ,район Измайлово,Тм32,Метро Партизанская,от центра,нет,,активна,1719223,"{type=Point, coordinates=[37.74766406, 55.78701612]}"
4420,"«Клинический научный центр», Новогиреевская улица (от центра)",37.79029256,55.76499617,Новогиреевская улица,Восточный административный округ,район Перово,Тб30; А211,Клинический научный центр,от центра,да,ГУП «Мосгортранс»,активна,1719225,"{type=Point, coordinates=[37.79029256, 55.76499617]}"
4421,"«Новогиреевская ул., 10», Новогиреевская улица (от центра)",37.7920469200363,55.7627116660094,Новогиреевская улица,Восточный административный округ,район Перово,Тб30; А211,"Новогиреевская ул., 10",от центра,нет,,активна,1719226,"{type=Point, coordinates=[37.79204692003635, 55.7627116660094]}"
3615,"«Объединение ЛИТ», Краснобогатырская улица (от центра)",37.70608636,55.80717974,Краснобогатырская улица,Восточный административный округ,район Богородское,Тм46; Тм11; Тм7; Тм2,Объединение ЛИТ,от центра,да,ГУП «Мосгортранс»,активна,1719228,"{type=Point, coordinates=[37.70608636, 55.80717974]}"
4495,"«К/т Киргизия», Федеративный проспект (от центра)",37.82441929,55.75349177,Федеративный проспект,Восточный административный округ,район Новогиреево,А211,К/т Киргизия,от центра,да,ГУП «Мосгортранс»,активна,1719229,"{type=Point, coordinates=[37.82441929, 55.75349177]}"
4496,"«Свободный просп.», Федеративный проспект (в центр)",37.81720901,55.75473652,Федеративный проспект,Восточный административный округ,район Новогиреево,А211,Свободный просп.,в центр,да,ГУП «Мосгортранс»,активна,1719230,"{type=Point, coordinates=[37.81720901, 55.75473652]}"
4497,"«70-я гор. б-ца», Федеративный проспект (в центр)",37.81315107,55.75529819,Федеративный проспект,Восточный административный округ,район Новогиреево,А211,70-я гор. б-ца,в центр,да,ГУП «Мосгортранс»,активна,1719231,"{type=Point, coordinates=[37.81315107, 55.75529819]}"
4498,"«Мартеновская ул.», Федеративный проспект (в центр)",37.80629023,55.75624733,Федеративный проспект,Восточный административный округ,район Перово,А211,Мартеновская ул.,в центр,да,ГУП «Мосгортранс»,активна,1719232,"{type=Point, coordinates=[37.80629023, 55.75624733]}"
4499,"«Федеративный просп.», Новогиреевская улица (в центр) (1)",37.7957881,55.75802931,Новогиреевская улица,Восточный административный округ,район Перово,А7; А620,Федеративный просп.,в центр,да,ГУП «Мосгортранс»,активна,1719233,"{type=Point, coordinates=[37.7957881, 55.75802931]}"
4500,"«Новогиреевская ул.», улица Металлургов (в центр)",37.79328413,55.75959981,улица Металлургов,Восточный административный округ,район Перово,А7; А620,Новогиреевская ул.,в центр,да,ГУП «Мосгортранс»,активна,1719234,"{type=Point, coordinates=[37.79328413, 55.75959981]}"
4502,"«Перово поле», Зелёный проспект (в центр)",37.79023792,55.75208986,Зелёный проспект,Восточный административный округ,район Перово,А659; Тб77; АН4,Перово поле,в центр,да,ГУП «Мосгортранс»,активна,1719236,"{type=Point, coordinates=[37.79023792, 55.75208986]}"
4503,"«Метро Перово», 2-я Владимирская улица (в центр)",37.78449706,55.75164495,2-я Владимирская улица,Восточный административный округ,район Перово,АН4; А620,Метро Перово,в центр,да,ГУП «Мосгортранс»,активна,1719237,"{type=Point, coordinates=[37.78449706, 55.75164495]}"
4783,"«Голубинская ул., 24», Голубинская улица (в центр)",37.53488167,55.59710353,Голубинская улица,Юго-Западный административный округ,район Ясенево,А769; А961; А651; Тб85; Тб72; А642; А281,"Голубинская ул., 24",в центр,да,ГУП «Мосгортранс»,активна,1719238,"{type=Point, coordinates=[37.53488167, 55.59710353]}"
4784,"«Трансагентство - Стоматология», Голубинская улица (в центр)",37.53044992,55.59809994,Голубинская улица,Юго-Западный административный округ,район Ясенево,А769; А961; А651; Тб85; Тб72; А642; А281,Трансагентство - Стоматология,в центр,да,ГУП «Мосгортранс»,активна,1719239,"{type=Point, coordinates=[37.53044992, 55.59809994]}"
4433,"«Новогиреевская ул.», шоссе Энтузиастов (в центр)",37.78857598,55.76566605,шоссе Энтузиастов,Восточный административный округ,район Измайлово,А214; А20,Новогиреевская ул.,в центр,да,ГУП «Мосгортранс»,активна,1719240,"{type=Point, coordinates=[37.78857598, 55.76566605]}"
4506,"«Гомеопатический центр», 2-я Владимирская улица (в центр)",37.77829116,55.76212848,2-я Владимирская улица,Восточный административный округ,район Перово,АН4; А7,Гомеопатический центр,в центр,да,ГУП «Мосгортранс»,активна,1719241,"{type=Point, coordinates=[37.77829116, 55.76212848]}"
4507,"«К/т Слава», шоссе Энтузиастов (от центра)",37.77413156,55.76275411,шоссе Энтузиастов,Восточный административный округ,район Перово,А214; АН4; Тм8; Тм24; Тм37; Тм34; А7; А20; А211; Тм36,К/т Слава,от центра,да,ГУП «Мосгортранс»,активна,1719242,"{type=Point, coordinates=[37.77413156, 55.76275411]}"
4508,"«Ул. Плеханова», шоссе Энтузиастов (в центр) (3)",37.75576855,55.75917654,шоссе Энтузиастов,Восточный административный округ,район Соколиная Гора,А214; АН4,Ул. Плеханова,в центр,нет,,активна,1719243,"{type=Point, coordinates=[37.75576855, 55.75917654]}"
4509,"«Метро Ш. Энтузиастов», шоссе Энтузиастов (в центр) (6)",37.75233836,55.75851269,шоссе Энтузиастов,Восточный административный округ,район Перово,Тб30; АН4; А254; А36; Тб53,Метро Ш. Энтузиастов,в центр,нет,,активна,1719244,"{type=Point, coordinates=[37.75233836, 55.75851269]}"
4510,"«Метро Ш. Энтузиастов», шоссе Энтузиастов (от центра) (4)",37.75161957,55.75765943,шоссе Энтузиастов,Восточный административный округ,район Перово,А46; А214; А659; АН4; А254,Метро Ш. Энтузиастов,от центра,да,ГУП «Мосгортранс»,активна,1719245,"{type=Point, coordinates=[37.75161957, 55.75765943]}"
4511,"«Ул. Плеханова», шоссе Энтузиастов (в центр) (5)",37.75846418,55.75927061,шоссе Энтузиастов,Восточный административный округ,район Перово,А214; АН4,Ул. Плеханова,в центр,нет,,активна,1719246,"{type=Point, coordinates=[37.75846418, 55.75927061]}"
4512,"«Главная аллея», шоссе Энтузиастов (от центра) (2)",37.7654846,55.76062382,шоссе Энтузиастов,Восточный административный округ,район Перово,А214; АН4,Главная аллея,от центра,да,ГУП «Мосгортранс»,активна,1719247,"{type=Point, coordinates=[37.7654846, 55.76062382]}"
4513,"«К/т Слава», шоссе Энтузиастов (от центра) (5)",37.77431305,55.76244757,шоссе Энтузиастов,Восточный административный округ,район Перово,Тб30; А214; АН4; А7; А20; А211,К/т Слава,от центра,да,ГУП «Мосгортранс»,активна,1719248,"{type=Point, coordinates=[37.77431305, 55.76244757]}"
4514,"«Гомеопатический центр», 2-я Владимирская улица (от центра)",37.77799591,55.76180559,2-я Владимирская улица,Восточный административный округ,район Перово,АН4; А7,Гомеопатический центр,от центра,да,ГУП «Мосгортранс»,активна,1719249,"{type=Point, coordinates=[37.77799591, 55.76180559]}"
4515,"«Ул. Металлургов», 2-я Владимирская улица (от центра)",37.78095834,55.75680621,2-я Владимирская улица,Восточный административный округ,район Перово,АН4; А620,Ул. Металлургов,от центра,да,ГУП «Мосгортранс»,активна,1719250,"{type=Point, coordinates=[37.78095834, 55.75680621]}"
5648,"«Херсонская ул., 1», Херсонская улица (от центра)",37.57616472,55.65016343,Херсонская улица,Юго-Западный административный округ,район Зюзино,А273; А224,"Херсонская ул., 1",от центра,да,ГУП «Мосгортранс»,активна,1719251,"{type=Point, coordinates=[37.57616472, 55.65016343]}"
4423,"«Федеративный просп.», Новогиреевская улица (от центра)",37.79615268,55.75681855,Новогиреевская улица,Восточный административный округ,район Перово,Тб30; А7,Федеративный просп.,от центра,да,ГУП «Мосгортранс»,активна,1719252,"{type=Point, coordinates=[37.79615268, 55.75681855]}"
4424,"«Новогиреевская ул., 37», Новогиреевская улица (от центра)",37.79858817,55.75251156,Новогиреевская улица,Восточный административный округ,район Новогиреево,А776; Тб30; А7; А36,"Новогиреевская ул., 37",от центра,да,ГУП «Мосгортранс»,активна,1719253,"{type=Point, coordinates=[37.79858817, 55.75251156]}"
4425,"«К/т Березка», Мартеновская улица (от центра)",37.80320391,55.7486779,Мартеновская улица,Восточный административный округ,район Новогиреево,А776; Тб30; А254; А620,К/т Березка,от центра,да,ГУП «Мосгортранс»,активна,1719254,"{type=Point, coordinates=[37.80320391, 55.7486779]}"
4426,"«Центр госуслуг», Мартеновская улица (в центр)",37.80532883,55.74790415,Мартеновская улица,Восточный административный округ,район Новогиреево,Тб30; А254; А620,Центр госуслуг,в центр,да,ГУП «Мосгортранс»,активна,1719255,"{type=Point, coordinates=[37.80532883, 55.74790415]}"
4427,"«З-д ТОРОС», Мартеновская улица (от центра)",37.80863114,55.74483642,Мартеновская улица,Восточный административный округ,район Новогиреево,А776; Тб30; А254; А620,З-д ТОРОС,от центра,да,ГУП «Мосгортранс»,активна,1719256,"{type=Point, coordinates=[37.80863114, 55.74483642]}"
4428,"«Платф. Новогиреево», Перовская улица (от центра)",37.81309149,55.74492703,Перовская улица,Восточный административный округ,район Новогиреево,Тб30; А620,Платф. Новогиреево,от центра,да,ГУП «Мосгортранс»,активна,1719257,"{type=Point, coordinates=[37.81309149, 55.74492703]}"
4429,"«Метро Выхино (выс.)», Вешняковская улица (от центра) (1)",37.81878244,55.71731776,Вешняковская улица,Восточный административный округ,район Вешняки,Тб30; А697,Метро Выхино (выс.),от центра,нет,,активна,1719258,"{type=Point, coordinates=[37.81878244, 55.71731776]}"
4430,"«Свободный просп.», шоссе Энтузиастов (в центр)",37.81672719,55.7711962,шоссе Энтузиастов,Восточный административный округ,район Ивановское,А214; А20,Свободный просп.,в центр,да,ГУП «Мосгортранс»,активна,1719259,"{type=Point, coordinates=[37.81672719, 55.7711962]}"
4431,"«Дом Ветеранов сцены», шоссе Энтузиастов (в центр)",37.79968963,55.76787701,шоссе Энтузиастов,Восточный административный округ,район Измайлово,А214; А20,Дом Ветеранов сцены,в центр,да,ГУП «Мосгортранс»,активна,1719260,"{type=Point, coordinates=[37.79968963, 55.76787701]}"
4492,"«Фрязевская ул.», Фрязевская улица (в центр) (1)",37.82438457,55.74615652,Фрязевская улица,Восточный административный округ,район Новогиреево,А662; А133; А254; А36; А833,Фрязевская ул.,в центр,да,ГУП «Мосгортранс»,активна,1719261,"{type=Point, coordinates=[37.82438457, 55.74615652]}"
4494,"«Ул. Молостовых (пос.)», Федеративный проспект (в центр)",37.82722438,55.75327706,Федеративный проспект,Восточный административный округ,район Ивановское,А211,Ул. Молостовых (пос.),в центр,да,ГУП «Мосгортранс»,активна,1719263,"{type=Point, coordinates=[37.82722438, 55.75327706]}"
4785,"«Ясногорская ул., 21», Ясногорская улица (в центр)",37.5312349,55.60022148,Ясногорская улица,Юго-Западный административный округ,район Ясенево,А769; А961; Тб85; А642,"Ясногорская ул., 21",в центр,да,ГУП «Мосгортранс»,активна,1719264,"{type=Point, coordinates=[37.5312349, 55.60022148]}"
4786,"«Поликлиника», Ясногорская улица (в центр)",37.53322596,55.60319027,Ясногорская улица,Юго-Западный административный округ,район Ясенево,А769; А961; Тб85; А642,Поликлиника,в центр,да,ГУП «Мосгортранс»,активна,1719265,"{type=Point, coordinates=[37.53322596, 55.60319027]}"
4787,"«Метро Ясенево», Ясногорская улица (в центр)",37.53537023,55.60647464,Ясногорская улица,Юго-Западный административный округ,район Ясенево,Тб85,Метро Ясенево,в центр,да,ГУП «Мосгортранс»,активна,1719266,"{type=Point, coordinates=[37.53537023, 55.60647464]}"
4788,"«Универмаг Ясенево», Ясногорская улица (в центр)",37.5383148,55.61080601,Ясногорская улица,Юго-Западный административный округ,район Ясенево,Тб85,Универмаг Ясенево,в центр,да,ГУП «Мосгортранс»,активна,1719267,"{type=Point, coordinates=[37.5383148, 55.61080601]}"
4789,"«Ул. Айвазовского, 1», улица Айвазовского (в центр)",37.54200756,55.61720313,улица Айвазовского,Юго-Западный административный округ,район Ясенево,А648; А651; Тб85; А264,"Ул. Айвазовского, 1",в центр,да,ГУП «Мосгортранс»,активна,1719268,"{type=Point, coordinates=[37.54200756, 55.61720313]}"
4790,"«Соловьиный пр.», Севастопольский проспект (в центр)",37.54365903,55.62043542,Севастопольский проспект,Юго-Западный административный округ,район Ясенево,А639; А648; А651; Тб85; А642К; А642,Соловьиный пр.,в центр,да,ГУП «Мосгортранс»,активна,1719269,"{type=Point, coordinates=[37.54365903, 55.62043542]}"
4791,"«Спортбаза Узкое», Севастопольский проспект (в центр)",37.54217755,55.62494397,Севастопольский проспект,Юго-Западный административный округ,район Ясенево,А639; А648; А651; Тб85; А642К; А642,Спортбаза Узкое,в центр,да,ГУП «Мосгортранс»,активна,1719270,"{type=Point, coordinates=[37.54217755, 55.62494397]}"
4792,"«Ул. Островитянова, 45», Севастопольский проспект (в центр)",37.54236284,55.63436624,Севастопольский проспект,Юго-Западный административный округ,район Ясенево,А639; А648; А651; Тб85; А642К; А642,"Ул. Островитянова, 45",в центр,да,ГУП «Мосгортранс»,активна,1719271,"{type=Point, coordinates=[37.54236284, 55.63436624]}"
4793,"«Ул. Миклухо-Маклая, 65», Севастопольский проспект (в центр)",37.54559263,55.63874994,Севастопольский проспект,Юго-Западный административный округ,район Коньково,А648; А651; Тб85,"Ул. Миклухо-Маклая, 65",в центр,да,ГУП «Мосгортранс»,активна,1719272,"{type=Point, coordinates=[37.54559263, 55.63874994]}"
4794,"«Ул. Бутлерова», Севастопольский проспект (в центр) (1)",37.55081536,55.64124778,Севастопольский проспект,Юго-Западный административный округ,район Коньково,А648; А651; Тб85,Ул. Бутлерова,в центр,да,ГУП «Мосгортранс»,активна,1719273,"{type=Point, coordinates=[37.55081536, 55.64124778]}"
4434,"«Новогиреевская ул.», шоссе Энтузиастов (от центра) (1)",37.79167768,55.76593855,шоссе Энтузиастов,Восточный административный округ,район Перово,А214; А20,Новогиреевская ул.,от центра,да,ГУП «Мосгортранс»,активна,1719276,"{type=Point, coordinates=[37.79167768, 55.76593855]}"
4435,"«МКНЦ», шоссе Энтузиастов (от центра) (1)",37.79487908,55.76657665,шоссе Энтузиастов,Восточный административный округ,район Перово,А214; А20,МКНЦ,от центра,да,ГУП «Мосгортранс»,активна,1719277,"{type=Point, coordinates=[37.79487908, 55.76657665]}"
4436,"«Дом Ветеранов сцены», шоссе Энтузиастов (от центра) (1)",37.80013508,55.76757574,шоссе Энтузиастов,Восточный административный округ,район Перово,А214; А20,Дом Ветеранов сцены,от центра,нет,,активна,1719278,"{type=Point, coordinates=[37.80013508, 55.76757574]}"
4437,"«Свободный просп.», Свободный проспект (от центра)",37.8210580106,55.7690726043,Свободный проспект,Восточный административный округ,район Ивановское,А645; А884,Свободный просп.,от центра,да,ГУП «Мосгортранс»,активна,1719279,"{type=Point, coordinates=[37.8210580106, 55.7690726043]}"
4438,"«Платф. Новогиреево (к/ст)», Фрязевская улица (в центр)",37.81205437,55.74373536,Фрязевская улица,Восточный административный округ,район Новогиреево,А237; А645; А36; А833,Платф. Новогиреево (к/ст),в центр,да,ГУП «Мосгортранс»,активна,1719280,"{type=Point, coordinates=[37.81205437, 55.74373536]}"
4439,"«Платф. Новогиреево (пос.)», Перовская улица (от центра)",37.81315269,55.74493024,Перовская улица,Восточный административный округ,район Новогиреево,А237; А645; А36; А833,Платф. Новогиреево (пос.),от центра,нет,,активна,1719281,"{type=Point, coordinates=[37.81315269, 55.74493024]}"
4441,"«Фрязевская ул.», Фрязевская улица (от центра) (1)",37.8266680966,55.7463667929,Фрязевская улица,Восточный административный округ,район Новогиреево,А133; А254; А36; А833,Фрязевская ул.,от центра,да,ГУП «Мосгортранс»,активна,1719283,"{type=Point, coordinates=[37.8266680966, 55.7463667929]}"
4442,"«Метро Новогиреево», Зелёный проспект (в центр) (3)",37.8157376,55.75198772,Зелёный проспект,Восточный административный округ,район Новогиреево,А776; А659; Тб77; АН4; А36,Метро Новогиреево,в центр,да,ГУП «Мосгортранс»,активна,1719284,"{type=Point, coordinates=[37.8157376, 55.75198772]}"
4443,"«Зеленый просп., 65», Зелёный проспект (в центр)",37.80756141,55.75315311,Зелёный проспект,Восточный административный округ,район Новогиреево,А776; А659; Тб77; АН4; А36,"Зеленый просп., 65",в центр,да,ГУП «Мосгортранс»,активна,1719285,"{type=Point, coordinates=[37.80756141, 55.75315311]}"
4504,"«Поликлиника № 69», 2-я Владимирская улица (в центр)",37.7824687,55.75516738,2-я Владимирская улица,Восточный административный округ,район Перово,АН4; А620,Поликлиника № 69,в центр,да,ГУП «Мосгортранс»,активна,1719286,"{type=Point, coordinates=[37.7824687, 55.75516738]}"
4505,"«Ул. Металлургов», 2-я Владимирская улица (в центр)",37.78067872,55.75793372,2-я Владимирская улица,Восточный административный округ,район Перово,АН4; А7,Ул. Металлургов,в центр,да,ГУП «Мосгортранс»,активна,1719287,"{type=Point, coordinates=[37.78067872, 55.75793372]}"
3641,"«Метро Партизанская», Народный проспект (от центра) (1)",37.74723758,55.78667955,Народный проспект,Восточный административный округ,район Измайлово,Тм32,Метро Партизанская,от центра,нет,,активна,1719289,"{type=Point, coordinates=[37.74723758, 55.78667955]}"
3643,"«Фортунатовская ул.», Щербаковская улица (в центр)",37.73908137,55.78309315,Щербаковская улица,Восточный административный округ,район Соколиная Гора,Тм32; Тм34; Тм34К; Тм11,Фортунатовская ул.,в центр,да,ГУП «Мосгортранс»,активна,1719290,"{type=Point, coordinates=[37.73908137, 55.78309315]}"
3644,"«Ул. Ибрагимова», Щербаковская улица (в центр)",37.73107381,55.78274112,Щербаковская улица,Восточный административный округ,район Соколиная Гора,Тм32; Тм34; Тм34К; Тм11,Ул. Ибрагимова,в центр,да,ГУП «Мосгортранс»,активна,1719291,"{type=Point, coordinates=[37.73107381, 55.78274112]}"
3645,"«Метро Семеновская», Щербаковская улица (в центр)",37.72289818,55.7824533,Щербаковская улица,Восточный административный округ,район Соколиная Гора,Тм32; Тм34; Тм34К; Тм11,Метро Семеновская,в центр,да,ГУП «Мосгортранс»,активна,1719292,"{type=Point, coordinates=[37.72289818, 55.7824533]}"
3647,"«Ул. Измайловский Вал», улица Измайловский Вал (от центра)",37.717206,55.78746136,улица Измайловский Вал,Восточный административный округ,район Соколиная Гора,Тм46; Тм36; Тм11; Тм2,Ул. Измайловский Вал,от центра,нет,,активна,1719294,"{type=Point, coordinates=[37.717206, 55.78746136]}"
3648,"«Ул. Преображенский Вал», улица Преображенский Вал (от центра)",37.71660491,55.78848371,улица Преображенский Вал,Восточный административный округ,район Преображенское,Тм46; Тм36; Тм11; Тм2,Ул. Преображенский Вал,от центра,да,ГУП «Мосгортранс»,активна,1719295,"{type=Point, coordinates=[37.71660491, 55.78848371]}"
3649,"«Метро Преображенская пл.», Краснобогатырская улица (в центр) (1)",37.71486676,55.7970052,Краснобогатырская улица,Восточный административный округ,район Преображенское,Тм46; Тм11; Тм7; Тм2,Метро Преображенская пл.,в центр,да,ГУП «Мосгортранс»,активна,1719296,"{type=Point, coordinates=[37.71486676, 55.7970052]}"
3650,"«Ул. Хромова», Краснобогатырская улица (в центр) (1)",37.71291695,55.80015014,Краснобогатырская улица,Восточный административный округ,район Преображенское,А86; Тм46; Тм11; Тм7; Тм2,Ул. Хромова,в центр,да,ГУП «Мосгортранс»,активна,1719297,"{type=Point, coordinates=[37.71291695, 55.80015014]}"
3651,"«Мосгорсуд», Краснобогатырская улица (в центр)",37.70748084,55.80443371,Краснобогатырская улица,Восточный административный округ,район Богородское,Тм46; Тм11; Тм7; Тм2,Мосгорсуд,в центр,да,ГУП «Мосгортранс»,активна,1719298,"{type=Point, coordinates=[37.70748084, 55.80443371]}"
3489,"«Азовская ул.», Балаклавский проспект (от центра)",37.59497995,55.64209896,Балаклавский проспект,Юго-Западный административный округ,район Зюзино,А168,Азовская ул.,от центра,нет,,активна,1719299,"{type=Point, coordinates=[37.59497995, 55.64209896]}"
3666,"«Погонный пр.», Погонный проезд (от центра)",37.71011632,55.81963163,Погонный проезд,Восточный административный округ,район Богородское,Тм4П; Тм29; Тм46; Тм7; Тм2,Погонный пр.,от центра,да,ГУП «Мосгортранс»,активна,1719300,"{type=Point, coordinates=[37.71011632, 55.81963163]}"
3667,"«3-й пр. Подбельского», 3-й проезд Подбельского (от центра)",37.72105631,55.81800234,3-й проезд Подбельского,Восточный административный округ,район Богородское,Тм4П; Тм29; Тм46; Тм7; Тм2,3-й пр. Подбельского,от центра,да,ГУП «Мосгортранс»,активна,1719301,"{type=Point, coordinates=[37.72105631, 55.81800234]}"
3668,"«2-й троллейбусный парк», Новорязанская улица (от центра)",37.66180253,55.77225808,Новорязанская улица,Центральный административный округ,Красносельский район,А40; АТ88; Тб22,2-й троллейбусный парк,от центра,да,ГУП «Мосгортранс»,активна,1719302,"{type=Point, coordinates=[37.66180253, 55.77225808]}"
3669,"«Спартаковская ул.», Новорязанская улица (от центра)",37.67098765,55.77121029,Новорязанская улица,Центральный административный округ,Басманный район,А40; АТ88; Тб22,Спартаковская ул.,от центра,да,ГУП «Мосгортранс»,активна,1719303,"{type=Point, coordinates=[37.67098765, 55.77121029]}"
3671,"«Метро Бауманская», Бакунинская улица (от центра) (2)",37.68084478,55.77368706,Бакунинская улица,Центральный административный округ,Басманный район,АМ3; АТ25; АТ88; Тб22; АН3,Метро Бауманская,от центра,нет,,активна,1719304,"{type=Point, coordinates=[37.68084478, 55.77368706]}"
3672,"«Спартаковский пер.», Бакунинская улица (от центра) (1)",37.68638433,55.77587226,Бакунинская улица,Центральный административный округ,Басманный район,АМ3; АТ25; АТ88; Тб22; АН3,Спартаковский пер.,от центра,да,ООО «Праймсайт»,активна,1719305,"{type=Point, coordinates=[37.68638433, 55.77587226]}"
3673,"«Балакиревский пер.», Бакунинская улица (от центра)",37.69019246,55.77785788,Бакунинская улица,Центральный административный округ,Басманный район,АМ3; АТ25; АТ88; Тб22; АН3,Балакиревский пер.,от центра,да,ООО «Праймсайт»,активна,1719306,"{type=Point, coordinates=[37.69019246, 55.77785788]}"
3674,"«Бакунинская ул., 84», Бакунинская улица (от центра)",37.69263238,55.77946544,Бакунинская улица,Центральный административный округ,Басманный район,АМ3; АТ25; АТ88; Тб22; АН3,"Бакунинская ул., 84",от центра,да,ООО «Праймсайт»,активна,1719307,"{type=Point, coordinates=[37.69263238, 55.77946544]}"
3675,"«Переведеновский пер.», Бакунинская улица (от центра)",37.69548033,55.78079226,Бакунинская улица,Центральный административный округ,Басманный район,АМ3; АТ25; АТ88; Тб22; АН3,Переведеновский пер.,от центра,да,ООО «Праймсайт»,активна,1719308,"{type=Point, coordinates=[37.69548033, 55.78079226]}"
3676,"«Электрозаводский мост», Электрозаводский мост (от центра)",37.7002927,55.78257315,Электрозаводский мост,Восточный административный округ,район Сокольники,А86; АМ3; АТ25; АТ88; Тб22; АН3; АТ32,Электрозаводский мост,от центра,нет,,активна,1719309,"{type=Point, coordinates=[37.7002927, 55.78257315]}"
4446,"«Ул. Новотетерки», Перовская улица (в центр)",37.79747386,55.74509246,Перовская улица,Восточный административный округ,район Новогиреево,А842; А254; А7; А36; Тб53; А620,Ул. Новотетерки,в центр,да,ГУП «Мосгортранс»,активна,1719310,"{type=Point, coordinates=[37.79747386, 55.74509246]}"
4447,"«Кусково», Кусковская улица (в центр)",37.78809074,55.74265704,Кусковская улица,Восточный административный округ,район Новогиреево,А254; А36,Кусково,в центр,да,ГУП «Мосгортранс»,активна,1719311,"{type=Point, coordinates=[37.78809074, 55.74265704]}"
3694,"«Игральная ул.», Погонный проезд (в центр)",37.71627097,55.81836949,Погонный проезд,Восточный административный округ,район Богородское,Тм4Л; Тм29; Тм46; Тм7; Тм2,Игральная ул.,в центр,да,ГУП «Мосгортранс»,активна,1719312,"{type=Point, coordinates=[37.71627097, 55.81836949]}"
3695,"«Погонный пр.», Погонный проезд (в центр)",37.70970085,55.8197743,Погонный проезд,Восточный административный округ,район Богородское,Тм4Л; Тм29; Тм46; Тм7; Тм2,Погонный пр.,в центр,да,ГУП «Мосгортранс»,активна,1719313,"{type=Point, coordinates=[37.70970085, 55.8197743]}"
3696,"«Ланинский пер.», Погонный проезд (в центр)",37.70534718,55.81903485,Погонный проезд,Восточный административный округ,район Богородское,Тм4Л; Тм29; Тм46; Тм7; Тм2,Ланинский пер.,в центр,да,ГУП «Мосгортранс»,активна,1719314,"{type=Point, coordinates=[37.70534718, 55.81903485]}"
3697,"«Богородское», Миллионная улица (в центр)",37.70101516,55.8170673,Миллионная улица,Восточный административный округ,район Богородское,Тм4Л; АО11; Тм46; Тм7; Тм2,Богородское,в центр,да,ГУП «Мосгортранс»,активна,1719315,"{type=Point, coordinates=[37.70101516, 55.8170673]}"
3809,"«Поликлиника», Затонная улица (от центра)",37.68555547,55.67789286,Затонная улица,Южный административный округ,район Нагатинский Затон,А219,Поликлиника,от центра,да,ГУП «Мосгортранс»,активна,1719318,"{type=Point, coordinates=[37.68555547, 55.67789286]}"
3475,"«Ул. Палиха», Перуновский переулок (в центр)",37.60243014,55.78524345,Перуновский переулок,Северо-Восточный административный округ,район Марьина Роща,Тм7,Ул. Палиха,в центр,нет,,активна,1719321,"{type=Point, coordinates=[37.60243014, 55.78524345]}"
3478,"«Пл. Борьбы», улица Достоевского (в центр)",37.60518255,55.78486454,улица Достоевского,Центральный административный округ,Тверской район,Тм19; Тм7,Пл. Борьбы,в центр,да,ГУП «Мосгортранс»,активна,1719322,"{type=Point, coordinates=[37.60518255, 55.78486454]}"
3481,"«К/т Прага», улица Нижняя Масловка (от центра) (2)",37.57839628,55.79211707,улица Нижняя Масловка,Северный административный округ,Савёловский район,Тб42; АТ79; А384; А82; А84К; А84,К/т Прага,от центра,да,ООО «Праймсайт»,активна,1719323,"{type=Point, coordinates=[37.57839628, 55.79211707]}"
3879,"«2-я проходная ЗИЛ», Автозаводская улица (от центра) (2)",37.64274376,55.70410757,Автозаводская улица,Южный административный округ,Даниловский район,А9; А142; АТ67; А186; АТ26; Тб40,2-я проходная ЗИЛ,от центра,да,ГУП «Мосгортранс»,активна,1719326,"{type=Point, coordinates=[37.64274376, 55.70410757]}"
3880,"«Автозаводский мост», Автозаводская улица (от центра) (1)",37.63843818,55.70452519,Автозаводская улица,Южный административный округ,Даниловский район,А9; А142; А263; А291; АТ67; А186; АТ26; Тб40,Автозаводский мост,от центра,да,ГУП «Мосгортранс»,активна,1719327,"{type=Point, coordinates=[37.63843818, 55.70452519]}"
3881,"«Метро Варшавская», Варшавское шоссе (от центра) (1)",37.61924829,55.65227537,Варшавское шоссе,Южный административный округ,Нагорный район,А147; Тб40; А147К; А635; А683; А241,Метро Варшавская,от центра,да,ГУП «Мосгортранс»,активна,1719328,"{type=Point, coordinates=[37.61924829, 55.65227537]}"
3882,"«Метро Южная», Кировоградская улица (от центра) (1)",37.60928434,55.62376143,Кировоградская улица,Южный административный округ,район Чертаново Северное,А784; А147; А147К; А635,Метро Южная,от центра,да,ГУП «Мосгортранс»,активна,1719329,"{type=Point, coordinates=[37.60928434, 55.62376143]}"
3883,"«Поликлиника», Сиреневый бульвар (в центр)",37.82459007,55.80329003,Сиреневый бульвар,Восточный административный округ,район Северное Измайлово,А97; АТ55; А230; АТ51; А884,Поликлиника,в центр,да,ГУП «Мосгортранс»,активна,1719330,"{type=Point, coordinates=[37.82459007, 55.80329003]}"
