"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"3820";"«Якорная ул.», Якорная улица (3820)";"37.68304223";"55.68681487";"Якорная улица";"Южный административный округ";"район Нагатинский Затон";"А219";"Якорная ул.";"";"нет";"";"активна";"889088528";"{type=Point, coordinates=[37.68304223, 55.68681487]}";
"3821";"«Поликлиника», улица Газопровод (3821)";"37.60715423";"55.58956226";"улица Газопровод";"Южный административный округ";"район Чертаново Южное";"А643; А682";"Поликлиника";"";"да";"ГУП «Мосгортранс»";"активна";"889088529";"{type=Point, coordinates=[37.60715423, 55.58956226]}";
"3822";"«Центр детского творчества Виктория», улица Газопровод (3822)";"37.61070682";"55.58898692";"улица Газопровод";"Южный административный округ";"район Чертаново Южное";"А118; А668";"Центр детского творчества Виктория";"";"нет";"";"активна";"889088530";"{type=Point, coordinates=[37.61070682, 55.58898692]}";
"3823";"«5-й пр. Подбельского», Бойцовая улица (3823)";"37.72529645";"55.81640699";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"5-й пр. Подбельского";"";"да";"ГУП «Мосгортранс»";"активна";"889088531";"{type=Point, coordinates=[37.72529645, 55.81640699]}";
"3824";"«Бульв. Марш. Рокоссовского, 22», Бойцовая улица (3824)";"37.72143631";"55.81400688";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"Бульв. Марш. Рокоссовского, 22";"";"да";"ГУП «Мосгортранс»";"активна";"889088532";"{type=Point, coordinates=[37.72143631, 55.81400688]}";
"3825";"«Магазин», Бойцовая улица (3825)";"37.71902405";"55.81219221";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"Магазин";"";"да";"ГУП «Мосгортранс»";"активна";"889088533";"{type=Point, coordinates=[37.71902405, 55.81219221]}";
"3826";"«4-я Гражданская ул.», 4-я Гражданская улица (3826)";"37.71954676";"55.80751051";"4-я Гражданская улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"4-я Гражданская ул.";"";"нет";"";"активна";"889088534";"{type=Point, coordinates=[37.71954676, 55.80751051]}";
"3827";"«Зельев пер.», Просторная улица (3827)";"37.71746684";"55.80544037";"Просторная улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"Зельев пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889088535";"{type=Point, coordinates=[37.71746684, 55.80544037]}";
"3828";"«Мосгорсуд», улица Богородский Вал (3828)";"37.70370573";"55.80270245";"улица Богородский Вал";"Восточный административный округ";"район Богородское";"А265";"Мосгорсуд";"";"нет";"";"активна";"889088536";"{type=Point, coordinates=[37.70370573, 55.80270245]}";
"3829";"«Б-ца № 4», Потешная улица (3829)";"37.70301573";"55.80007621";"Потешная улица";"Восточный административный округ";"район Преображенское";"А265";"Б-ца № 4";"";"да";"ГУП «Мосгортранс»";"активна";"889088537";"{type=Point, coordinates=[37.70301573, 55.80007621]}";
"3830";"«Потешная ул.», Потешная улица (3830)";"37.70378069";"55.7978159";"Потешная улица";"Восточный административный округ";"район Соколиная Гора";"А265";"9-я ул. Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088538";"{type=Point, coordinates=[37.70378069, 55.7978159]}";
"3831";"«Русаковская наб.», Русаковская набережная (3831)";"37.69805569";"55.80049732";"Русаковская набережная";"Восточный административный округ";"район Сокольники";"А265";"Русаковская наб.";"";"да";"ГУП «Мосгортранс»";"активна";"889088539";"{type=Point, coordinates=[37.69805569, 55.80049732]}";
"3832";"«Ул. Короленко - Социальный Университет», улица Стромынка (3832)";"37.6932012";"55.79381158";"улица Стромынка";"Восточный административный округ";"район Сокольники";"Тб14; А265; А332; Тб41; А716; А78; Тб83; АТ32";"Ул. Короленко - Социальный Университет";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088540";"{type=Point, coordinates=[37.6932012, 55.79381158]}";
"3834";"«3-я Рыбинская ул.», 1-я Рыбинская улица (3834)";"37.65907064";"55.79217849";"1-я Рыбинская улица";"Восточный административный округ";"район Соколиная Гора";"А122; А265; А40";"Б-ца Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088541";"{type=Point, coordinates=[37.65907064, 55.79217849]}";
"3835";"«Платф. Ржевская», Водопроводный переулок (3835)";"37.63875294";"55.79303766";"Водопроводный переулок";"Центральный административный округ";"Мещанский район";"А265; А778";"Платф. Ржевская";"";"да";"ГУП «Мосгортранс»";"активна";"889088542";"{type=Point, coordinates=[37.63875294, 55.79303766]}";
"3836";"«Сокольнический Вал», улица Сокольнический Вал (3836)";"37.65550558";"55.79323867";"улица Сокольнический Вал";"Восточный административный округ";"район Сокольники";"А265";"Сокольнический Вал";"";"да";"ГУП «Мосгортранс»";"активна";"889088543";"{type=Point, coordinates=[37.65550558, 55.79323867]}";
"3837";"«3-я Рыбинская ул.», улица Сокольнический Вал (3837)";"37.66144657";"55.79200841";"улица Сокольнический Вал";"Восточный административный округ";"район Сокольники";"А122; А140; А265; А40";"3-я Рыбинская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088545";"{type=Point, coordinates=[37.66144657, 55.79200841]}";
"3842";"«Мосгорсуд», улица Богородский Вал (3842)";"37.704425";"55.80263124";"улица Богородский Вал";"Восточный административный округ";"район Преображенское";"А265";"Мосгорсуд";"";"да";"ГУП «Мосгортранс»";"активна";"889088546";"{type=Point, coordinates=[37.704425, 55.80263124]}";
"3843";"«Ул. Алымова», Просторная улица (3843)";"37.71247666";"55.80445203";"Просторная улица";"Восточный административный округ";"район Преображенское";"А265; А80; А86";"Ул. Алымова";"";"нет";"";"активна";"889088547";"{type=Point, coordinates=[37.71247666, 55.80445203]}";
"3844";"«Зельев пер.», Просторная улица (3844)";"37.71869199";"55.80549254";"Просторная улица";"Восточный административный округ";"район Преображенское";"А265; А86; А86к";"Зельев пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889088548";"{type=Point, coordinates=[37.71869199, 55.80549254]}";
"3845";"«4-я Гражданская ул.», 4-я Гражданская улица (3845)";"37.71999025";"55.80718106";"4-я Гражданская улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"4-я Гражданская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088549";"{type=Point, coordinates=[37.71999025, 55.80718106]}";
"3846";"«Детская ул.», Бойцовая улица (3846)";"37.71634453";"55.80966373";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"Детская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088550";"{type=Point, coordinates=[37.71634453, 55.80966373]}";
"3847";"«Магазин», Бойцовая улица (3847)";"37.71873695";"55.81166509";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"Магазин";"";"да";"ГУП «Мосгортранс»";"активна";"889088551";"{type=Point, coordinates=[37.71873695, 55.81166509]}";
"3848";"«Бульв. Марш. Рокоссовского, 22», Бойцовая улица (3848)";"37.72030337";"55.81291481";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"Бульв. Марш. Рокоссовского, 22";"";"да";"ГУП «Мосгортранс»";"активна";"889088552";"{type=Point, coordinates=[37.72030337, 55.81291481]}";
"3849";"«5-й пр. Подбельского», Бойцовая улица (3849)";"37.7257618";"55.81641897";"Бойцовая улица";"Восточный административный округ";"район Богородское";"А265; А86; А86к";"5-й пр. Подбельского";"";"да";"ГУП «Мосгортранс»";"активна";"889088553";"{type=Point, coordinates=[37.7257618, 55.81641897]}";
"3850";"«Преображенский рынок», улица Преображенский Вал (3850)";"37.71462276";"55.79240398";"улица Преображенский Вал";"Восточный административный округ";"район Преображенское";"Тм11; Тм2; А311; Тм36; Тм46";"Преображенский рынок";"";"да";"ГУП «Мосгортранс»";"активна";"889088554";"{type=Point, coordinates=[37.71462276, 55.79240398]}";
"3851";"«Краснобогатырская ул.», Краснобогатырская улица (3851)";"37.7091806";"55.80248288";"Краснобогатырская улица";"Восточный административный округ";"район Преображенское";"А311; А86";"Краснобогатырская ул.";"";"нет";"";"активна";"889088555";"{type=Point, coordinates=[37.7091806, 55.80248288]}";
"3853";"«Преображенская пл.», Преображенская улица (3853)";"37.70819217";"55.79540062";"Преображенская улица";"Восточный административный округ";"район Преображенское";"Тб41; А716; Тб83; АТ32";"Преображенская пл.";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088556";"{type=Point, coordinates=[37.70819217, 55.79540062]}";
"3854";"«Кирпичная ул.», проспект Будённого (3854)";"37.7210489";"55.77751623";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А141; А254; А332; Тм34; А36; Тм36; А469; А702; А730; А83; А86; АТ32";"Кирпичная ул.";"";"нет";"";"активна";"889088557";"{type=Point, coordinates=[37.7210489, 55.77751623]}";
"3855";"«Вольная ул.», проспект Будённого (3855)";"37.72350581";"55.77483293";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А141; А254; А332; А36; А469; А702; А730; А83; А86; АТ32";"Вольная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088558";"{type=Point, coordinates=[37.72350581, 55.77483293]}";
"3856";"«10-я ул. Соколиной Горы», проспект Будённого (3856)";"37.72598372";"55.77212092";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А254; А332; А469; А702; А730; А86; АТ32";"10-я ул. Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088559";"{type=Point, coordinates=[37.72598372, 55.77212092]}";
"3857";"«9-я ул. Соколиной Горы», проспект Будённого (3857)";"37.728146";"55.76972863";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А254; А332; А469; А702; А730; А86; АТ32";"9-я ул. Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088560";"{type=Point, coordinates=[37.728146, 55.76972863]}";
"3858";"«8-я ул. Соколиной Горы», проспект Будённого (3858)";"37.73051109";"55.76708276";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А254; А332; А469; А702; А730; А86; АТ32";"8-я ул. Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088561";"{type=Point, coordinates=[37.73051109, 55.76708276]}";
"3859";"«Ул. Бориса Жигуленкова», улица Бориса Жигулёнкова (3859)";"37.73746591";"55.76745829";"улица Бориса Жигулёнкова";"Восточный административный округ";"район Соколиная Гора";"А332; А36; А83; А86";"Ул. Бориса Жигуленкова";"";"да";"ГУП «Мосгортранс»";"активна";"889088562";"{type=Point, coordinates=[37.73746591, 55.76745829]}";
"3860";"«Б-ца Соколиной Горы», 8-я улица Соколиной Горы (3860)";"37.74245306";"55.76983416";"8-я улица Соколиной Горы";"Восточный административный округ";"район Соколиная Гора";"А332; А86";"Б-ца Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088563";"{type=Point, coordinates=[37.74245306, 55.76983416]}";
"3861";"«Б-ца Соколиной Горы», 8-я улица Соколиной Горы (3861)";"37.74204581";"55.7695389";"8-я улица Соколиной Горы";"Восточный административный округ";"район Соколиная Гора";"А332";"Б-ца Соколиной Горы";"";"нет";"";"активна";"889088564";"{type=Point, coordinates=[37.74204581, 55.7695389]}";
"3862";"«Ул. Бориса Жигуленкова, 27», улица Бориса Жигулёнкова (3862)";"37.73920132";"55.76523444";"улица Бориса Жигулёнкова";"Восточный административный округ";"район Соколиная Гора";"А332; А36; А83; А86";"Ул. Бориса Жигуленкова, 27";"";"да";"ГУП «Мосгортранс»";"активна";"889088565";"{type=Point, coordinates=[37.73920132, 55.76523444]}";
"3863";"«5-я ул. Соколиной Горы», проспект Будённого (3863)";"37.73510274";"55.76288725";"проспект Будённого";"Восточный административный округ";"район Северное Измайлово";"Тм34; Тм36";"К/т София";"";"да";"ГУП «Мосгортранс»";"активна";"889088567";"{type=Point, coordinates=[37.73510274, 55.76288725]}";
"3864";"«8-я ул. Соколиной Горы», проспект Будённого (3864)";"37.73045387";"55.76793233";"проспект Будённого";"Восточный административный округ";"район Измайлово";"А254; А332; А469; А702; А730; А86; АТ32";"7-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088568";"{type=Point, coordinates=[37.73045387, 55.76793233]}";
"3865";"«9-я ул. Соколиной Горы», проспект Будённого (3865)";"37.72807227";"55.77058636";"проспект Будённого";"Восточный административный округ";"район Северное Измайлово";"А254; А332; А469; А702; А730; А86; АТ32";"Управа района Северное Измайлово";"";"да";"ГУП «Мосгортранс»";"активна";"889088569";"{type=Point, coordinates=[37.72807227, 55.77058636]}";
"3866";"«10-я ул. Соколиной Горы», проспект Будённого (3866)";"37.72598091";"55.77285583";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А141; А254; А332; А36; А469; А702; А730; А83; А86; АТ32";"10-я ул. Соколиной Горы";"";"да";"ГУП «Мосгортранс»";"активна";"889088570";"{type=Point, coordinates=[37.72598091, 55.77285583]}";
"3867";"«Вольная ул.», проспект Будённого (3867)";"37.72379934";"55.77521619";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А141; А254; А332; А36; А469; А702; А730; А83; А86; АТ32";"Вольная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088571";"{type=Point, coordinates=[37.72379934, 55.77521619]}";
"3868";"«Кирпичная ул.», проспект Будённого (3868)";"37.72161155";"55.77763151";"проспект Будённого";"Восточный административный округ";"район Соколиная Гора";"А141; А254; А332; А36; А469; А702; А730; А83; А86; АТ32";"Кирпичная ул.";"";"нет";"";"активна";"889088572";"{type=Point, coordinates=[37.72161155, 55.77763151]}";
"3869";"«Б. Семеновская ул.», Большая Семёновская улица (3869)";"37.71570636";"55.78077978";"Большая Семёновская улица";"Восточный административный округ";"район Соколиная Гора";"Тб22; А332; А552; А59; А86; АМ3; АН3; АТ25; АТ32; АТ88";"Б. Семеновская ул.";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088573";"{type=Point, coordinates=[37.71570636, 55.78077978]}";
"3870";"«Краснобогатырская ул.», Краснобогатырская улица (3870)";"37.71031823";"55.80205822";"Краснобогатырская улица";"Восточный административный округ";"район Преображенское";"А311; А80; А86";"Краснобогатырская ул.";"";"нет";"";"активна";"889088574";"{type=Point, coordinates=[37.71031823, 55.80205822]}";
"3871";"«Метро Пражская», Кировоградская улица (3871)";"37.60410443";"55.61194023";"Кировоградская улица";"Южный административный округ";"район Чертаново Центральное";"А147";"Метро Пражская";"";"да";"ГУП «Мосгортранс»";"активна";"889088575";"{type=Point, coordinates=[37.60410443, 55.61194023]}";
"3872";"«Метро Варшавская», Варшавское шоссе (3872)";"37.61989389";"55.6535409";"Варшавское шоссе";"Южный административный округ";"Нагорный район";"А142; А147; Тб40";"Метро Варшавская";"";"нет";"";"активна";"889088576";"{type=Point, coordinates=[37.61989389, 55.6535409]}";
"3875";"«Автозаводский мост - Платф. ЗИЛ», Большая Тульская улица (3875)";"37.62215151";"55.704403";"Большая Тульская улица";"Южный административный округ";"Донской район";"А142; А186; Тб40; А44";"Автозаводский мост - Платф. ЗИЛ";"";"да";"ГУП «Мосгортранс»";"активна";"889088577";"{type=Point, coordinates=[37.62215151, 55.704403]}";
"3877";"«2-я проходная ЗИЛ», Автозаводская улица (3877)";"37.64153291";"55.70376466";"Автозаводская улица";"Южный административный округ";"Даниловский район";"А142; А186; Тб40; А44; А9; АТ26; АТ67";"2-я проходная ЗИЛ";"";"да";"ГУП «Мосгортранс»";"активна";"889088578";"{type=Point, coordinates=[37.64153291, 55.70376466]}";
"3879";"«Префектура ЮАО», Автозаводская улица (3879)";"37.6528898";"55.70484743";"Автозаводская улица";"Южный административный округ";"Даниловский район";"А142; А186; Тб40; А44; А9";"Префектура ЮАО";"";"да";"ГУП «Мосгортранс»";"активна";"889088579";"{type=Point, coordinates=[37.6528898, 55.70484743]}";
"3880";"«2-я проходная ЗИЛ», Автозаводская улица (3880)";"37.64274376";"55.70410757";"Автозаводская улица";"Южный административный округ";"Даниловский район";"А142; А186; Тб40; А44; А9; А99; АТ26; АТ67";"2-я проходная ЗИЛ";"";"да";"ГУП «Мосгортранс»";"активна";"889088580";"{type=Point, coordinates=[37.64274376, 55.70410757]}";
"3881";"«Автозаводский мост», Автозаводская улица (3881)";"37.63843818";"55.70452519";"Автозаводская улица";"Южный административный округ";"Даниловский район";"А142; А186; А263; А291; Тб40; А44; А9; А99; АТ26; АТ67";"Автозаводский мост";"";"да";"ГУП «Мосгортранс»";"активна";"889088581";"{type=Point, coordinates=[37.63843818, 55.70452519]}";
"3882";"«Метро Варшавская», Варшавское шоссе (3882)";"37.61924829";"55.65227537";"Варшавское шоссе";"Южный административный округ";"Нагорный район";"А147; А147К; А241; Тб40; А635; А683";"Метро Варшавская";"";"да";"ООО «ТВ-Сити»";"активна";"889088582";"{type=Point, coordinates=[37.61924829, 55.65227537]}";
"3883";"«Метро Южная», Кировоградская улица (3883)";"37.60928434";"55.62376143";"Кировоградская улица";"Южный административный округ";"район Чертаново Северное";"А147; А147К; А635; А784";"Метро Южная";"";"да";"ГУП «Мосгортранс»";"активна";"889088583";"{type=Point, coordinates=[37.60928434, 55.62376143]}";
"3884";"«Поликлиника», Сиреневый бульвар (3884)";"37.82459007";"55.80329003";"Сиреневый бульвар";"Восточный административный округ";"район Северное Измайлово";"А230; А884; А97; АС7; АТ51; АТ55";"Поликлиника";"";"да";"ГУП «Мосгортранс»";"активна";"889088584";"{type=Point, coordinates=[37.82459007, 55.80329003]}";
"3885";"«Сиреневый бульв.», Сиреневый бульвар (3885)";"37.81792635";"55.80342441";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; АС7; АТ55";"Школа";"";"да";"ГУП «Мосгортранс»";"активна";"889088585";"{type=Point, coordinates=[37.81792635, 55.80342441]}";
"3886";"«13-я Парковая ул.», Сиреневый бульвар (3886)";"37.81153194";"55.80333473";"Сиреневый бульвар";"Восточный административный округ";"район Северное Измайлово";"А230; А34; АС7; АТ55";"13-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088587";"{type=Point, coordinates=[37.81153194, 55.80333473]}";
"3887";"«11-я Парковая ул.», Сиреневый бульвар (3887)";"37.80463762";"55.80324328";"Сиреневый бульвар";"Восточный административный округ";"район Северное Измайлово";"А230; А34; АС7; АТ55";"11-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088588";"{type=Point, coordinates=[37.80463762, 55.80324328]}";
"3888";"«К/т София», Сиреневый бульвар (3888)";"37.79785239";"55.80316028";"Сиреневый бульвар";"Восточный административный округ";"район Северное Измайлово";"А230; А34; А974";"К/т София";"";"да";"ГУП «Мосгортранс»";"активна";"889088589";"{type=Point, coordinates=[37.79785239, 55.80316028]}";
"3889";"«7-я Парковая ул.», Сиреневый бульвар (3889)";"37.79495385";"55.80241271";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; А34; А974";"7-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088590";"{type=Point, coordinates=[37.79495385, 55.80241271]}";
"3890";"«Управа района Северное Измайлово», Сиреневый бульвар (3890)";"37.78949321";"55.8030616";"Сиреневый бульвар";"Восточный административный округ";"район Северное Измайлово";"А230; А257; А34; А974";"Управа района Северное Измайлово";"";"да";"ГУП «Мосгортранс»";"активна";"889088591";"{type=Point, coordinates=[37.78949321, 55.8030616]}";
"3891";"«Щелковский пр.», Щёлковский проезд (3891)";"37.78055584";"55.80333686";"Щёлковский проезд";"Восточный административный округ";"район Северное Измайлово";"А230; А34; А34К";"Щелковский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889088592";"{type=Point, coordinates=[37.78055584, 55.80333686]}";
"3892";"«Монтажная ул.», Щёлковское шоссе (3892)";"37.7745650861182";"55.8084669345468";"Щёлковское шоссе";"Восточный административный округ";"район Гольяново";"А230";"Монтажная ул.";"";"нет";"";"активна";"889088593";"{type=Point, coordinates=[37.7745650861182, 55.8084669345468]}";
"3893";"«Калошино», Щёлковское шоссе (3893)";"37.76940256";"55.80705579";"Щёлковское шоссе";"Восточный административный округ";"район Гольяново";"Тб41; Тб83; АТ32";"Калошино";"";"да";"ГУП «Мосгортранс»";"активна";"889088594";"{type=Point, coordinates=[37.76940256, 55.80705579]}";
"3895";"«ПО Сокол», Щёлковское шоссе (3895)";"37.75854367";"55.80378443";"Щёлковское шоссе";"Восточный административный округ";"район Северное Измайлово";"А171; А34; А34К; Тб41; А449; А52; А716; Тб83; А974; АТ32";"ПО Сокол";"";"нет";"";"активна";"889088595";"{type=Point, coordinates=[37.75854367, 55.80378443]}";
"3897";"«Метро Черкизовская», Щелковский путепровод (3897)";"37.7447977";"55.80127436";"проезд без названия";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; Тб41; А52; А716; Тб83; АТ32";"Метро Черкизовская";"";"нет";"";"активна";"889088596";"{type=Point, coordinates=[37.7447977, 55.80127436]}";
"3898";"«РЖД Арена», Большая Черкизовская улица (3898)";"37.73957809";"55.80040737";"Большая Черкизовская улица";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; А372; Тб41; А52; А716; Тб83; АТ32";"РЖД Арена";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088597";"{type=Point, coordinates=[37.73957809, 55.80040737]}";
"3899";"«Дворец творчества», Большая Черкизовская улица (3899)";"37.73344336";"55.79932431";"Большая Черкизовская улица";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; А372; Тб41; А52; А716; Тб83; АТ32";"Дворец творчества";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088598";"{type=Point, coordinates=[37.73344336, 55.79932431]}";
"3900";"«Халтуринская ул.», Большая Черкизовская улица (3900)";"37.72723979";"55.79827834";"Большая Черкизовская улица";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; А372; Тб41; А52; А716; Тб83; АТ32";"Халтуринская ул.";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088599";"{type=Point, coordinates=[37.72723979, 55.79827834]}";
"3901";"«Зельев пер.», Большая Черкизовская улица (3901)";"37.72283937";"55.79757287";"Большая Черкизовская улица";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; А372; Тб41; А52; А716; Тб83; АТ32";"Зельев пер.";"";"нет";"";"активна";"889088600";"{type=Point, coordinates=[37.72283937, 55.79757287]}";
"3902";"«Метро Преображенская пл.», Преображенская площадь (3902)";"37.71285109";"55.79570127";"Преображенская площадь";"Восточный административный округ";"район Метрогородок";"Тб41; Тб83; АТ32";"Тагильская ул.";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088601";"{type=Point, coordinates=[37.71285109, 55.79570127]}";
"3904";"«Зельев пер.», Большая Черкизовская улица (3904)";"37.72319242";"55.79720775";"Большая Черкизовская улица";"Восточный административный округ";"район Метрогородок";"А171; А230; А34; А34К; А372; Тб41; А52; А716; Тб83; АТ32";"Плодоовощной комбинат";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088602";"{type=Point, coordinates=[37.72319242, 55.79720775]}";
"3906";"«Дворец творчества», Большая Черкизовская улица (3906)";"37.73497365";"55.79924809";"Большая Черкизовская улица";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; Тб41; А52; А716; Тб83; АТ32";"Дворец творчества";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088603";"{type=Point, coordinates=[37.73497365, 55.79924809]}";
"3907";"«РЖД Арена», Большая Черкизовская улица (3907)";"37.73999741";"55.80009134";"Большая Черкизовская улица";"Восточный административный округ";"район Преображенское";"А171; А230; А34; А34К; Тб41; А52; А716; Тб83; АТ32";"РЖД Арена";"";"да";"ЗАО «Валль-СНГ»";"активна";"889088604";"{type=Point, coordinates=[37.73999741, 55.80009134]}";
"3908";"«Ин-т Физкультуры», Сиреневый бульвар (3908)";"37.76074885";"55.80223171";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230";"Ин-т Физкультуры";"";"да";"ГУП «Мосгортранс»";"активна";"889088605";"{type=Point, coordinates=[37.76074885, 55.80223171]}";
"3909";"«Сиреневый бульв., 4», Сиреневый бульвар (3909)";"37.757599";"55.80218456";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230";"Сиреневый бульв., 4";"";"да";"ГУП «Мосгортранс»";"активна";"889088606";"{type=Point, coordinates=[37.757599, 55.80218456]}";
"3910";"«Школа», Сиреневый бульвар (3910)";"37.76864903";"55.80233744";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230";"Школа";"";"да";"ГУП «Мосгортранс»";"активна";"889088607";"{type=Point, coordinates=[37.76864903, 55.80233744]}";
"3911";"«Никитинская ул.», Сиреневый бульвар (3911)";"37.77543318";"55.80217882";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; А34; А34К; АТ55";"Никитинская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088608";"{type=Point, coordinates=[37.77543318, 55.80217882]}";
"3912";"«3-я Парковая ул.», Сиреневый бульвар (3912)";"37.78401125";"55.8022689";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; А974; АТ55";"3-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088610";"{type=Point, coordinates=[37.78401125, 55.8022689]}";
"3913";"«Управа района Северное Измайлово», Сиреневый бульвар (3913)";"37.78876413";"55.80239071";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; А257; А34; А974; АТ55";"Управа района Северное Измайлово";"";"да";"ГУП «Мосгортранс»";"активна";"889088611";"{type=Point, coordinates=[37.78876413, 55.80239071]}";
"3914";"«7-я Парковая ул.», Сиреневый бульвар (3914)";"37.79333608";"55.803099";"Сиреневый бульвар";"Восточный административный округ";"район Северное Измайлово";"А230; А34; А974";"7-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088612";"{type=Point, coordinates=[37.79333608, 55.803099]}";
"3915";"«К/т София», Сиреневый бульвар (3915)";"37.799498078";"55.8025205472";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; А34; АТ55";"К/т София";"";"да";"ГУП «Мосгортранс»";"активна";"889088613";"{type=Point, coordinates=[37.799498078, 55.8025205472]}";
"3916";"«11-я Парковая ул.», Сиреневый бульвар (3916)";"37.80340309";"55.80258572";"Сиреневый бульвар";"Восточный административный округ";"район Измайлово";"А230; А34; АТ55";"11-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088614";"{type=Point, coordinates=[37.80340309, 55.80258572]}";
"3917";"«13-я Парковая ул.», Сиреневый бульвар (3917)";"37.81293139";"55.80268962";"Сиреневый бульвар";"Восточный административный округ";"район Соколиная Гора";"А230; АС7; АТ55";"Просп. Буденного";"";"да";"ГУП «Мосгортранс»";"активна";"889088615";"{type=Point, coordinates=[37.81293139, 55.80268962]}";
"3918";"«Сиреневый бульв.», Сиреневый бульвар (3918)";"37.81940145";"55.80277245";"Сиреневый бульвар";"Восточный административный округ";"район Соколиная Гора";"А230; А884; А97; АС7; АТ51; АТ55";"Компьютерный центр Буденовский";"";"нет";"";"активна";"889088616";"{type=Point, coordinates=[37.81940145, 55.80277245]}";
"3919";"«Поликлиника», Сиреневый бульвар (3919)";"37.82584464";"55.80307886";"Сиреневый бульвар";"Восточный административный округ";"район Восточное Измайлово";"А230; А884; А97; АС7; АТ51; АТ55";"Поликлиника";"";"да";"ГУП «Мосгортранс»";"активна";"889088617";"{type=Point, coordinates=[37.82584464, 55.80307886]}";
"3920";"«1-я Рыбинская ул.», Рижская эстакада (3920)";"37.65360601";"55.79248361";"проезд без названия";"Восточный административный округ";"район Сокольники";"А265; А778";"1-я Рыбинская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889088618";"{type=Point, coordinates=[37.65360601, 55.79248361]}";
